Station,Fee,Category,Partner,Network,Total,Special Fee,Notes
Gold 1458 AM (Manchester) ,50,Local & Regional,,ILR AM,Total Gold,,
Gold (Norfolk) (prev. Classic Gold Amber 1152 AM Norwich),40,Local & Regional,Heart 102.4 FM / (Norfolk and Suffolk) (prev. Radio Broadland),ILR AM,Total Gold,60,
Gold (Northamptonshire) (prev. Classic Gold 1557 AM),40,Local & Regional,Heart 96.6 FM / (Northamptonshire) (prev. Northants 96),ILR AM,Total Gold,60,
Gold (Nottinghamshire & Derby),40,Local & Regional,96 Trent FM/ ,ILR AM,Total Gold,60,
Gold (Peterborough) (prev. Classic Gold 1332 AM Peterborough),40,Local & Regional,Heart 102.7 FM / (Peterborough) (prev. 102.7 FM Hereward),ILR AM,Total Gold,60,
Gold (Plymouth) (prev. Classic Gold 1152 AM Plymouth),40,Local & Regional,Heart 97.0 and 96.6 FM / (Plymouth) (prev. Plymouth Sound),ILR AM,Total Gold,60,
Gold 1521 AM (Reigate & Crawley) (prev Breeze 1521AM) ,40,Local & Regional,Mercury 102.7 FM / Watford’s Mercury 96.6 FM ,ILR AM,Total Gold,60,
Gold (Suffolk) (prev. Classic Gold Amber 1170 & 1251 AM),40,Local & Regional,Heart (Suffolk) / (prev. SGR FM),ILR AM,Total Gold,60,
Gold (Sussex) (prev. Capital Gold 1323 & 945 AM),40,Local & Regional,Heart 102.4 and 103.5 FM / (Sussex) (prev. Southern),ILR AM,Total Gold,60,
Gold (Wiltshire) (prev. Classic Gold Swindon & West Wilts),40,Local & Regional,Heart 97.2 and 102.2 FM / (Wiltshire) (prev. GWR Wiltshire),ILR AM,Total Gold,60,
Gold (Wolverhampton / Shrewsbury / Telford),40,Local & Regional,Galaxy (South Coast) (Prev. Power FM) ,ILR AM,Total Gold,,
Gold (Wrexham),40,Local & Regional,Heart 103.4 FM (Cheshire and North East Wales) (prev. Marcher),ILR AM,Total Gold,60,
Hallam FM/ ,40,Local & Regional,Magic AM (S. Yorks) ,ILR FM,,,
Radio Hampshire FM,40,Local & Regional,,ILR FM,,,
Heart 103 FM (Anglesey) (prev. Champion),40,Local & Regional,,ILR FM,Total Heart,,
Heart 103 FM / (Bath) (prev. GWR Bath),40,Local & Regional,,ILR FM,Total Heart,,
Heart 96.9 FM (Bedford) (prev. 96.9 Chiltern FM),40,Local & Regional,Gold (Bedford) (prev. Classic Gold 792 AM Bedford),ILR FM,Total Heart,60,
Heart 102.9 and 97.0 FM / (Berkshire) (prev. 2Ten),40,Local & Regional,Gold (Berkshire),ILR FM,Total Heart,60,
Heart 96.3 FM / (Bristol) (prev. GWR Bristol),40,Local & Regional,Gold (Bristol & Bath) (prev Classic Gold Bath),ILR FM,Total Heart,60,
Heart 103 FM (Cambridge) (prev. Q103 FM),40,Local & Regional,,ILR FM,Total Heart,,
Heart 103.4 FM (Cheshire and North East Wales) (prev. Marcher),40,Local & Regional,Gold (Wrexham),ILR FM,Total Heart,60,
Heart 96.1 (Colchester) (prev. SGR Colchester),40,Local & Regional,,ILR FM,Total Heart,,
Heart 102.3 FM / (Dorset) (prev. 2CR),40,Local & Regional,Gold (Dorset) (prev. Classic Gold 828 AM Bournemouth),ILR FM,Total Heart,60,
Heart 97.6 FM / (Dunstable) (prev. 97.9 Chiltern FM),40,Local & Regional,Gold (East of England) (prev Gold Luton),ILR FM,Total Heart,60,
Heart 97.0 and 103.0 FM / (East Devon and Exeter) (prev. Gemini Exeter),40,Local & Regional,Gold (East Devon and Exeter),ILR FM,Total Heart,60,
Heart 106 FM (East Midlands),50,Local & Regional,,ILR FM,Total Heart,,
Heart 96.3 and 102.6 FM / (Essex) (prev Essex FM),40,Local & Regional,Gold (Essex) (prev. Classic Gold Breeze 1359/1431 AM),ILR FM,Total Heart,60,
Heart 102.4 FM / (Gloucestershire) (prev. Severn Sound),40,Local & Regional,Gold (Gloucestershire) (prev. Classic Gold 774 AM),ILR FM,Total Heart,60,
Heart 97.5 and 96.7 FM / (Hampshire) (prev. Ocean),40,Local & Regional,Gold (Hampshire) (prev. Capital Gold 1170 & 1557 AM S.Hants),ILR FM,Total Heart,60,
Heart 103.1 and 102.8 FM / (Kent) (prev. Invicta),40,Local & Regional,Gold (Kent) (prev. Capital Gold 1242 & 603 AM),ILR FM,Total Heart,60,
Heart FM 106.2 (London) ,55,Local & Regional,,ILR FM,Total Heart,,
Heart 103.3 FM (Milton Keynes) (Prev Horizon Radio),40,Local & Regional,,ILR FM,Total Heart,,
Heart 102.4 FM / (Norfolk and Suffolk) (prev. Radio Broadland),40,Local & Regional,Gold (Norfolk) (prev. Classic Gold Amber 1152 AM Norwich),ILR FM,Total Heart,60,
Heart 96.6 FM / (Northamptonshire) (prev. Northants 96),40,Local & Regional,Gold (Northamptonshire) (prev. Classic Gold 1557 AM),ILR FM,Total Heart,60,
Heart 96.2 and 97.3 FM (North Devon) (prev. Lantern),40,Local & Regional,,ILR FM,Total Heart,,
Heart 96.3 FM (N. Wales Coast) (prev. Coast),40,Local & Regional,,ILR FM,Total Heart,,
Heart 102.6 and 97.4 FM (Oxfordshire) (prev. Fox),40,Local & Regional,,ILR FM,Total Heart,,
Heart 102.7 FM / (Peterborough) (prev. 102.7 FM Hereward),40,Local & Regional,Gold (Peterborough) (prev. Classic Gold 1332 AM Peterborough),ILR FM,Total Heart,60,
Heart 97.0 and 96.6 FM / (Plymouth) (prev. Plymouth Sound),40,Local & Regional,Gold (Plymouth) (prev. Classic Gold 1152 AM Plymouth),ILR FM,Total Heart,60,
Heart 102.6 FM (Somerset) (prev. Orchard),40,Local & Regional,,ILR FM,Total Heart,,
Heart 100 to 102 FM (South Hams) (prev. South Hams),40,Local & Regional,Galaxy (South Coast),ILR FM,Total Heart,60,
Heart (Suffolk) / (prev. SGR FM),40,Local & Regional,Gold (Suffolk) (prev. Classic Gold Amber 1170 & 1251 AM),ILR FM,Total Heart,60,
Heart 102.4 and 103.5 FM / (Sussex) (prev. Southern),40,Local & Regional,Gold (Sussex) (prev. Capital Gold 1323 & 945 AM),ILR FM,Total Heart,60,
Heart 96.4 FM (Torbay) (prev. Gemini Torbay),40,Local & Regional,,ILR FM,Total Heart,,
Heart FM 100.7 (West Midlands) ,50,Local & Regional,,ILR FM,Total Heart,,
Heart 97.2 and 102.2 FM / (Wiltshire) (prev. GWR Wiltshire),40,Local & Regional,Gold (Wiltshire) (prev. Classic Gold Swindon & West Wilts),ILR FM,Total Heart,60,
Heart 97.1 FM (Wirral) (prev. Buzz),40,Local & Regional,,ILR FM,Total Heart,,
Heartland FM ,40,Local & Regional,,ILR FM,,,
Hertbeat FM (Hertford) ,40,Local & Regional,,ILR FM,,,
High Peak Radio FM (Buxton) ,40,Local & Regional,,ILR FM,,,
Home 107.9 FM ,40,Local & Regional,,ILR FM,,,
Imagine FM ,40,Local & Regional,,ILR FM,,,
104.7 Island FM ,40,Local & Regional,,ILR FM,,,
Isle of Wight Radio FM,40,Local & Regional,,ILR FM,,,
Isles FM ,40,Local & Regional,,ILR FM,,,
Ivel FM ,40,Local & Regional,,ILR FM,,,
Jack FM (Oxfordshire),40,Local & Regional,,ILR FM,,,
107.8 FM Radio Jackie (prev. Thames 107.8) ,40,Local & Regional,,ILR FM,,,
Jazz FM 102.2 (London) ,55,Local & Regional,,ILR FM,,,
Juice 107.2 FM (Brighton) ,40,Local & Regional,,ILR FM,,,
Juice 107.6 FM FM(Liverpool) ,40,Local & Regional,,ILR FM,,,
KCFM 99.8 (Kingston-upon-Hull),40,Local & Regional,,ILR FM,,,
KCR 106.7 FM (Knowsley) ,40,Local & Regional,,ILR FM,,,
Kerrang! 105.2 (West Midlands) ,50,Local & Regional,,ILR FM,,,
107.6 Kestral FM ,40,Local & Regional,,ILR FM,,,
Key 103 FM (Manchester)/ ,50,Local & Regional,Magic 1152 AM (Manchester),ILR FM,,75,
West Berkshire's Kick FM (Newbury) ,40,Local & Regional,,ILR FM,,,
Kiss 101 (Severn Estury),50,Local & Regional,,ILR FM,,,
Kiss 105-108 (East of England),50,Local & Regional,,ILR FM,,,
Kingdom FM ,40,Local & Regional,,ILR FM,,,
Kismat Asian Talk Radio (KATR) (prev Easy Radio London 1035 AM) ,55,Local & Regional,,ILR AM,,,
Kiss 100 FM (London) ,55,Local & Regional,,ILR FM,,,
Kix 96.2 FM ,40,Local & Regional,,ILR FM,,,
KL.FM 96.7 ,40,Local & Regional,,ILR FM,,,
KM-fm Ashford,40,Local & Regional,,ILR FM,,,
"KM-fm Canterbury (Canterbury, Whitstable & Herne Bay) (prev. 106 CTFM Radio) ",40,Local & Regional,,ILR FM,,,
KM-fm for Shepway & Whilte Cliffs Country (Folkestone & Dover) (prev. Neptune Radio) ,40,Local & Regional,,ILR FM,,,
KM-fm Maidstone,40,Local & Regional,,ILR FM,,,
KM-fm Medway (Medway Towns) (prev. Mercury 107.9 FM) ,40,Local & Regional,,ILR FM,,,
KM-fm Thanet (Thanet Sandwich & Deal) (prev. TLR 107.2 FM) ,40,Local & Regional,,ILR FM,,,
KM-fm West Kent (Tunbridge Wells & Sevenoaks) (prev. Mercury 96.2 FM),40,Local & Regional,,ILR FM,,,
Lanarkshire's L 107 FM,40,Local & Regional,,ILR FM,,,
Lakeland Radio FM,40,Local & Regional,,ILR FM,,,
LBC 97.3 FM (prev ITN News Direct 97.3 FM)/,55,Local & Regional,LBC News 1152 AM ,ILR FM,,82.5,
LBC News 1152 AM ,55,Local & Regional,LBC 97.3 FM (prev ITN News Direct 97.3 FM)/,ILR AM,,82.5,
Leicester Sound FM,40,Local & Regional,,ILR FM,,,
Lincs FM 102.2,40,Local & Regional,,ILR FM,,,
106.8 Lite FM (Peterborough) ,40,Local & Regional,,ILR FM,,,
Lochbroom FM ,40,Local & Regional,,ILR FM,,,
London Greek Radio FM,50,Local & Regional,,ILR FM,,,
London Turkish Radio AM,50,Local & Regional,,ILR AM,,,
Magic 105.4 FM (Greater London),55,Local & Regional,,ILR FM,Total Magic,,
"Magic 1161 AM (Humberside, E Yorks and N. Lincs",40,Local & Regional,96.9 Viking FM/ ,ILR AM,Total Magic,60,
Magic 828 AM (Leeds),40,Local & Regional,,ILR AM,Total Magic,,
Magic 1548 AM (Liverpool) ,50,Local & Regional,Radio City 96.7 FM/ ,ILR AM,Total Magic,75,
Magic 1152 AM (Manchester),50,Local & Regional,Key 103 FM (Manchester)/ ,ILR AM,Total Magic,75,
Magic 999 AM (Preston) ,40,Local & Regional,,ILR AM,Total Magic,60,
Magic AM (S. Yorks) ,40,Local & Regional,Hallam FM/ ,ILR AM,Total Magic,60,
Magic 1170 AM (Teeside) ,40,Local & Regional,,ILR AM,Total Magic,60,
Magic 1152 AM (Tyne & Wear) ,50,Local & Regional,,ILR AM,Total Magic,75,
Radio Maldwyn AM,40,Local & Regional,,ILR AM,,,
Mansfield 103.2 FM,40,Local & Regional,,ILR FM,,,
Manx Radio AM/FM,40,Local & Regional,,ILR FM,,,
Marcher Sound FM/,40,Local & Regional,Gold (Wrexham),ILR FM,,60,
Mercia FM/ ,40,Local & Regional,Gold 1359 AM (Coventry and Warwickshire) ,ILR FM,,60,
Hertfordshire's Mercury 96.6,40,Local & Regional,,ILR FM,,,
Mercury 102.7 FM / Watford’s Mercury 96.6 FM ,40,Local & Regional,Gold 1521 AM (Reigate & Crawley) (prev Breeze 1521AM) ,ILR FM,,60,
Metro Radio FM/ ,50,Local & Regional,,ILR FM,,,
Mid FM (Mid Ulster) ,40,Local & Regional,,ILR FM,,,
Minster FM ,40,Local & Regional,,ILR FM,,,
Minster Northallerton,40,Local & Regional,,ILR FM,,,
Mix 96 FM (Ayelsbury),40,Local & Regional,,ILR FM,,,
Mix 107 (High Wycombe) (prev 107 Swan FM) ,40,Local & Regional,,ILR FM,,,
Moray Firth Radio 1107 AM,40,Local & Regional,,ILR AM,,,
Nation Radio FM (prev. Xfm South Wales),40,Local & Regional,,ILR FM,,,
NECR FM,40,Local & Regional,,ILR FM,,,
Nevis Radio FM,40,Local & Regional,,ILR FM,,,
New Style Radio 98.7 FM,40,Local & Regional,,ILR FM,,,
North Norfolk Radio FM,40,Local & Regional,,ILR FM,,,
NorthSound 1 FM / ,40,Local & Regional,NorthSound 2 AM,ILR FM,,60,
NorthSound 2 AM,40,Local & Regional,NorthSound 1 FM / ,ILR AM,,60,
99.9 FM Radio Norwich,40,Local & Regional,,ILR FM,,,
107 Oak FM ,40,Local & Regional,,ILR FM,,,
Oak FM 107.9 (Hinckley) (prev. Fosseway Radio),40,Local & Regional,,ILR FM,,,
Oban FM ,40,Local & Regional,,ILR FM,,,
Original 106 (Aberdeen),40,Local & Regional,,ILR FM,,,
Original 106.5 (Bristol),40,Local & Regional,,ILR FM,,,
Oxford's FM 107.9,40,Local & Regional,,ILR FM,,,
Passion 107.9 (prev Fusion 107.9 FM) ,40,Local & Regional,,ILR FM,,,
Palm FM 105.5 (Torbay),40,Local & Regional,,ILR FM,,,
Peak 107 FM (Chesterfield),40,Local & Regional,,ILR FM,,,
102.5 FM Radio Pembrokeshire ,40,Local & Regional,,ILR FM,,,
Pennine FM (prev. Huddersfield's Home),40,Local & Regional,,ILR FM,,,
Perth FM,40,Local & Regional,,ILR FM,,,
Pirate FM 102 ,40,Local & Regional,,ILR FM,,,
Premier Christian Radio AM,55,Local & Regional,,ILR AM,,,
Proud FM (Preston),40,Local & Regional,,ILR FM,,,
The Pulse of West Yorkshire FM/ ,40,Local & Regional,Pulse 2 1278 & 1530 AM (prev W.Yorks Classic Gold) ,ILR FM,,60,
Pulse 2 1278 & 1530 AM (prev W.Yorks Classic Gold) ,40,Local & Regional,The Pulse of West Yorkshire FM/ ,ILR AM,,60,
Q101 FM West (Omagh & Enniskillen) ,40,Local & Regional,,ILR FM,,,
Q102 FM (Londonderry) ,40,Local & Regional,,ILR FM,,,
Quay West 107.4 FM (Bridgewater),40,Local & Regional,,ILR FM,,,
Quay West 102.4 FM (West Somerset),40,Local & Regional,,ILR FM,,,
107.4 FM The Quay (Portsmouth) ,40,Local & Regional,,ILR FM,,,
Reading 107 FM ,40,Local & Regional,,ILR FM,,,
Real Radio 100-101 FM (Cent.Scotland) ,50,Local & Regional,,ILR FM,Total Real,,
Real Radio 100-102 (North East) (prev Century Radio 100-102),50,Local & Regional,,ILR FM,Total Real,,
Real Radio FM (North Wales) ,50,Local & Regional,,ILR FM,Total Real,,
Real Radio 105.4 (North West) (prev Century Radio 105.4),50,Local & Regional,,ILR FM,Total Real,,
Real Radio 105-106 FM (South Wales) ,50,Local & Regional,,ILR FM,Total Real,,
Real Radio 106-108 FM (Yorkshire) ,50,Local & Regional,,ILR FM,Total Real,,
Red Dragon FM/ ,40,Local & Regional,Gold 1359 & 1305 AM (Cardiff & Newport) ,ILR FM,,60,
96.2 FM The Revolution ,40,Local & Regional,,ILR FM,,,
Ridings FM ,40,Local & Regional,,ILR FM,,,
River FM (West Lothian) ,40,Local & Regional,,ILR FM,,,
97.4 Rock FM/ ,40,Local & Regional,,ILR FM,,,
96.3 Rock Radio (Paisley) (prev. Q96),40,Local & Regional,,ILR FM,,,
106.1 Rock Radio (Manchester),50,Local & Regional,,ILR FM,,,
Rother FM (Rotherham),40,Local & Regional,,ILR FM,,,
RNA FM (Arbroath/Carnoustie) ,40,Local & Regional,,ILR FM,,,
107.1 Rugby FM ,40,Local & Regional,,ILR FM,,,
Rutland Radio FM,40,Local & Regional,,ILR FM,,,
Sabras Radio FM,40,Local & Regional,,ILR FM,,,
The Saint (prev 107.8 SouthCity FM (Southampton) ,40,Local & Regional,,ILR FM,,,
Saga 106.6 fm (East Midlands) ,50,Local & Regional,,ILR FM,,,
Saga 105.2 fm (Glasgow) ,50,Local & Regional,,ILR FM,,,
Saga 105.7 fm (West Midlands) ,50,Local & Regional,,ILR FM,,,
97.5 Scarlet FM ,40,Local & Regional,,ILR FM,,,
The Severn 106.5 & 107.1 (Shrewsbury & Oswestry),40,Local & Regional,,ILR FM,,,
Severn FM (Ballymena),40,Local & Regional,,ILR FM,,,
SIBC FM,40,Local & Regional,,ILR FM,,,
Signal 1 FM/ ,40,Local & Regional,Signal 2 (prev Signal’s Big 1170 AM) ,ILR FM,,60,
Signal 2 (prev Signal’s Big 1170 AM) ,40,Local & Regional,Signal 1 FM/ ,ILR AM,,60,
106.9 Silk FM ,40,Local & Regional,,ILR FM,,,
Six FM (Mid Ulster),40,Local & Regional,,ILR FM,,,
106.6 Smooth Radio (East Midlands),50,Local & Regional,,ILR FM,Total Smooth,,
105.2 Smooth Radio (Glasgow),50,Local & Regional,,ILR FM,Total Smooth,,
Smooth 102.2 (London),55,Local & Regional,,ILR FM,Total Smooth,,
100.4 Smooth Radio (Manchester),50,Local & Regional,,ILR FM,Total Smooth,,
97.5 and 107.7 Smooth Radio (Northeast),50,Local & Regional,,ILR FM,Total Smooth,,
100.4 Smooth FM (The North West) (prev Jazz FM 100.4) ,50,Local & Regional,,ILR FM,Total Smooth,,
105.7 Smooth Radio (West Midlands),50,Local & Regional,,ILR FM,Total Smooth,,
South London Radio 107.3 FM,40,Local & Regional,,ILR FM,,,
Southend Radio 105.1 FM,40,Local & Regional,,ILR FM,,,
South West Sound FM,40,Local & Regional,,ILR FM,,,
107.5 FM Sovereign Radio ,40,Local & Regional,,ILR FM,,,
Spectrum Radio AM,55,Local & Regional,,ILR AM,,,
Spire FM ,40,Local & Regional,,ILR FM,,,
Spirit FM ,40,Local & Regional,,ILR FM,,,
107.7 Splash FM ,40,Local & Regional,,ILR FM,,,
Star 106.6 FM (Berkshire) ,40,Local & Regional,,ILR FM,Total Star,,
Star 107.2 FM (Bristol) (prev Star 107.3) ,40,Local & Regional,,ILR FM,Total Star,,
Star Radio 107 FM (Cambridge & Ely) (aka Star 107.9/1) ,40,Local & Regional,,ILR FM,Total Star,,
Star 107.5 FM (Cheltenham) ,40,Local & Regional,,ILR FM,Total Star,,
Star 107.9/3 FM (Stroud) (prev Star 107) ,40,Local & Regional,,ILR FM,Total Star,,
Star 107.7 FM (Weston-super-Mare) ,40,Local & Regional,,ILR FM,Total Star,,
97.2 Stray FM ,40,Local & Regional,,ILR FM,,,
103.4 Sun FM ,40,Local & Regional,,ILR FM,,,
Sunshine 855 AM (South Hampshire),40,Local & Regional,,ILR AM,,,
Sunshine 954 AM (Hereford),40,Local & Regional,,ILR AM,,,
Sunshine 106.2 and 107 FM (Monmouthshire),40,Local & Regional,,ILR FM,,,
Sunrise FM (Yorkshire) ,40,Local & Regional,,ILR FM,,,
Sunrise Radio AM (London) ,55,Local & Regional,,ILR AM,,,
102.1 Swansea Bay Radio,40,Local & Regional,,ILR FM,,,
talkSPORT AM (London only) ,55,Local & Regional,,ILR AM,,,
Tay FM/ ,40,Local & Regional,Tay AM ,ILR FM,,60,
Tay AM ,40,Local & Regional,Tay FM/ ,ILR AM,,60,
107.4 Telford FM ,40,Local & Regional,,ILR FM,,,
Ten 17 FM,40,Local & Regional,,ILR FM,,,
3FM (Douglas),40,Local & Regional,,ILR FM,,,
96.6 TFM Radio/,40,Local & Regional,,ILR FM,,,
"106.6 Time FM (Maidenhead, Windsor & Slough)",40,Local & Regional,,ILR FM,,,
"106.8 Time FM (Greenwich, Bexley & Dartford)",40,Local & Regional,,ILR FM,,,
107.3 Time FM (Lewisham & Southwark) (prev Fusion Radio 107.3) ,50,Local & Regional,,ILR FM,,,
"107.5 Time FM (Romford, Barking & Dagenham) (prev Soul City 107.5) ",40,Local & Regional,,ILR FM,,,
Tower FM ,40,Local & Regional,,ILR FM,,,
Town 102 FM (Ipswich),40,Local & Regional,,ILR FM,,,
Touch Radio 96.2 FM (Coventry),40,Local & Regional,,ILR FM,,,
Touch Radio 101.6 to 102.4  FM (Tamworth),40,Local & Regional,,ILR FM,,,
Touch Radio 102 FM (Stratford-Upon-Avon),40,Local & Regional,,ILR FM,,,
Touch Radio 107.3 FM (Warwick),40,Local & Regional,,ILR FM,,,
Touch Radio 107.6 FM (Banbury),40,Local & Regional,,ILR FM,,,
